"Plot Title: 20879907"
"#","Date Time, GMT-06:00","Abs Pres, kPa (LGR S/N: 20879907, SEN S/N: 20879907)","Temp, °C (LGR S/N: 20879907, SEN S/N: 20879907)","Coupler Detached (LGR S/N: 20879907)","Coupler Attached (LGR S/N: 20879907)","Host Connected (LGR S/N: 20879907)","Stopped (LGR S/N: 20879907)","End Of File (LGR S/N: 20879907)"
1,08/06/20 01:00:00 PM,69.474,17.379,Logged,,,,
2,08/06/20 01:10:00 PM,69.469,17.189,,,,,
3,08/06/20 01:20:00 PM,69.462,17.284,,,,,
4,08/06/20 01:30:00 PM,69.437,17.379,,,,,
5,08/06/20 01:40:00 PM,69.449,17.475,,,,,
6,08/06/20 01:50:00 PM,69.437,17.379,,,,,
7,08/06/20 02:00:00 PM,69.418,17.379,,,,,
8,08/06/20 02:10:00 PM,69.420,17.760,,,,,
9,08/06/20 02:20:00 PM,69.425,17.950,,,,,
10,08/06/20 02:30:00 PM,69.429,18.426,,,,,
11,08/06/20 02:40:00 PM,69.416,18.616,,,,,
12,08/06/20 02:50:00 PM,69.427,18.331,,,,,
13,08/06/20 03:00:00 PM,69.404,17.855,,,,,
14,08/06/20 03:10:00 PM,69.390,17.379,,,,,
15,08/06/20 03:20:00 PM,69.384,17.189,,,,,
16,08/06/20 03:30:00 PM,69.382,17.094,,,,,
17,08/06/20 03:40:00 PM,69.395,16.903,,,,,
18,08/06/20 03:50:00 PM,69.367,16.618,,,,,
19,08/06/20 04:00:00 PM,69.378,16.332,,,,,
20,08/06/20 04:10:00 PM,69.384,16.237,,,,,
21,08/06/20 04:20:00 PM,69.375,16.237,,,,,
22,08/06/20 04:30:00 PM,69.368,16.332,,,,,
23,08/06/20 04:40:00 PM,69.370,16.713,,,,,
24,08/06/20 04:50:00 PM,69.376,16.903,,,,,
25,08/06/20 05:00:00 PM,69.382,16.808,,,,,
26,08/06/20 05:10:00 PM,69.383,16.523,,,,,
27,08/06/20 05:20:00 PM,69.356,16.237,,,,,
28,08/06/20 05:30:00 PM,69.344,16.141,,,,,
29,08/06/20 05:40:00 PM,69.334,16.141,,,,,
30,08/06/20 05:50:00 PM,69.338,15.951,,,,,
31,08/06/20 06:00:00 PM,69.320,15.664,,,,,
32,08/06/20 06:10:00 PM,69.321,15.378,,,,,
33,08/06/20 06:20:00 PM,69.321,15.091,,,,,
34,08/06/20 06:30:00 PM,69.287,14.900,,,,,
35,08/06/20 06:40:00 PM,69.290,14.709,,,,,
36,08/06/20 06:50:00 PM,69.322,14.517,,,,,
37,08/06/20 07:00:00 PM,69.319,14.421,,,,,
38,08/06/20 07:10:00 PM,69.328,14.421,,,,,
39,08/06/20 07:20:00 PM,69.313,14.517,,,,,
40,08/06/20 07:30:00 PM,69.322,14.517,,,,,
41,08/06/20 07:40:00 PM,69.341,14.230,,,,,
42,08/06/20 07:50:00 PM,69.329,13.846,,,,,
43,08/06/20 08:00:00 PM,69.338,13.558,,,,,
44,08/06/20 08:10:00 PM,69.363,13.173,,,,,
45,08/06/20 08:20:00 PM,69.351,12.787,,,,,
46,08/06/20 08:30:00 PM,69.372,12.304,,,,,
47,08/06/20 08:40:00 PM,69.394,11.819,,,,,
48,08/06/20 08:50:00 PM,69.393,11.528,,,,,
49,08/06/20 09:00:00 PM,69.393,11.236,,,,,
50,08/06/20 09:10:00 PM,69.405,11.041,,,,,
51,08/06/20 09:20:00 PM,69.423,10.748,,,,,
52,08/06/20 09:30:00 PM,69.416,10.553,,,,,
53,08/06/20 09:40:00 PM,69.437,10.357,,,,,
54,08/06/20 09:50:00 PM,69.440,10.161,,,,,
55,08/06/20 10:00:00 PM,69.427,10.063,,,,,
56,08/06/20 10:10:00 PM,69.448,9.866,,,,,
57,08/06/20 10:20:00 PM,69.450,9.669,,,,,
58,08/06/20 10:30:00 PM,69.449,9.373,,,,,
59,08/06/20 10:40:00 PM,69.442,9.176,,,,,
60,08/06/20 10:50:00 PM,69.450,8.879,,,,,
61,08/06/20 11:00:00 PM,69.449,8.581,,,,,
62,08/06/20 11:10:00 PM,69.438,8.282,,,,,
63,08/06/20 11:20:00 PM,69.440,8.082,,,,,
64,08/06/20 11:30:00 PM,69.438,7.782,,,,,
65,08/06/20 11:40:00 PM,69.444,7.682,,,,,
66,08/06/20 11:50:00 PM,69.446,7.481,,,,,
67,08/07/20 12:00:00 AM,69.438,7.280,,,,,
68,08/07/20 12:10:00 AM,69.444,7.179,,,,,
69,08/07/20 12:20:00 AM,69.455,6.978,,,,,
70,08/07/20 12:30:00 AM,69.451,6.877,,,,,
71,08/07/20 12:40:00 AM,69.448,6.775,,,,,
72,08/07/20 12:50:00 AM,69.434,6.674,,,,,
73,08/07/20 01:00:00 AM,69.449,6.573,,,,,
74,08/07/20 01:10:00 AM,69.440,6.573,,,,,
75,08/07/20 01:20:00 AM,69.427,6.471,,,,,
76,08/07/20 01:30:00 AM,69.440,6.573,,,,,
77,08/07/20 01:40:00 AM,69.440,6.573,,,,,
78,08/07/20 01:50:00 AM,69.431,6.573,,,,,
79,08/07/20 02:00:00 AM,69.440,6.573,,,,,
80,08/07/20 02:10:00 AM,69.445,6.471,,,,,
81,08/07/20 02:20:00 AM,69.436,6.471,,,,,
82,08/07/20 02:30:00 AM,69.432,6.370,,,,,
83,08/07/20 02:40:00 AM,69.442,6.370,,,,,
84,08/07/20 02:50:00 AM,69.438,6.268,,,,,
85,08/07/20 03:00:00 AM,69.434,6.166,,,,,
86,08/07/20 03:10:00 AM,69.411,6.064,,,,,
87,08/07/20 03:20:00 AM,69.421,6.064,,,,,
88,08/07/20 03:30:00 AM,69.430,6.064,,,,,
89,08/07/20 03:40:00 AM,69.425,6.166,,,,,
90,08/07/20 03:50:00 AM,69.447,6.268,,,,,
91,08/07/20 04:00:00 AM,69.428,6.268,,,,,
92,08/07/20 04:10:00 AM,69.442,6.370,,,,,
93,08/07/20 04:20:00 AM,69.432,6.370,,,,,
94,08/07/20 04:30:00 AM,69.445,6.471,,,,,
95,08/07/20 04:40:00 AM,69.445,6.471,,,,,
96,08/07/20 04:50:00 AM,69.455,6.471,,,,,
97,08/07/20 05:00:00 AM,69.464,6.471,,,,,
98,08/07/20 05:10:00 AM,69.455,6.471,,,,,
99,08/07/20 05:20:00 AM,69.460,6.370,,,,,
100,08/07/20 05:30:00 AM,69.466,6.268,,,,,
101,08/07/20 05:40:00 AM,69.475,6.268,,,,,
102,08/07/20 05:50:00 AM,69.481,6.166,,,,,
103,08/07/20 06:00:00 AM,69.477,6.064,,,,,
104,08/07/20 06:10:00 AM,69.473,5.962,,,,,
105,08/07/20 06:20:00 AM,69.478,5.860,,,,,
106,08/07/20 06:30:00 AM,69.478,5.860,,,,,
107,08/07/20 06:40:00 AM,69.488,5.860,,,,,
108,08/07/20 06:50:00 AM,69.501,5.962,,,,,
109,08/07/20 07:00:00 AM,69.505,6.064,,,,,
110,08/07/20 07:10:00 AM,69.509,6.166,,,,,
111,08/07/20 07:20:00 AM,69.526,6.370,,,,,
112,08/07/20 07:30:00 AM,69.519,6.674,,,,,
113,08/07/20 07:40:00 AM,69.526,6.877,,,,,
114,08/07/20 07:50:00 AM,69.538,7.179,,,,,
115,08/07/20 08:00:00 AM,69.545,7.381,,,,,
116,08/07/20 08:10:00 AM,69.528,7.682,,,,,
117,08/07/20 08:20:00 AM,69.549,7.983,,,,,
118,08/07/20 08:30:00 AM,69.563,8.382,,,,,
119,08/07/20 08:40:00 AM,69.568,8.779,,,,,
120,08/07/20 08:50:00 AM,69.570,9.077,,,,,
121,08/07/20 09:00:00 AM,69.577,9.275,,,,,
122,08/07/20 09:10:00 AM,69.584,9.472,,,,,
123,08/07/20 09:20:00 AM,69.585,9.768,,,,,
124,08/07/20 09:30:00 AM,69.592,9.965,,,,,
125,08/07/20 09:40:00 AM,69.593,10.259,,,,,
126,08/07/20 09:50:00 AM,69.584,10.553,,,,,
127,08/07/20 10:00:00 AM,69.591,10.748,,,,,
128,08/07/20 10:10:00 AM,69.605,11.139,,,,,
129,08/07/20 10:20:00 AM,69.624,11.431,,,,,
130,08/07/20 10:30:00 AM,69.618,11.819,,,,,
131,08/07/20 10:40:00 AM,69.616,12.304,,,,,
132,08/07/20 10:50:00 AM,69.632,13.076,,,,,
133,08/07/20 11:00:00 AM,69.632,13.942,,,,,
134,08/07/20 11:10:00 AM,69.634,14.613,,,,,
135,08/07/20 11:20:00 AM,69.636,15.282,,,,,
136,08/07/20 11:30:00 AM,69.645,15.855,,,,,
137,08/07/20 11:40:00 AM,69.635,16.141,,,,,
138,08/07/20 11:50:00 AM,69.643,16.427,,,,,
139,08/07/20 12:00:00 PM,69.655,16.523,,,,,
140,08/07/20 12:10:00 PM,69.642,16.713,,,,,
141,08/07/20 12:20:00 PM,69.632,16.999,,,,,
142,08/07/20 12:30:00 PM,69.631,17.284,,,,,
143,08/07/20 12:40:00 PM,69.633,17.665,,,,,
144,08/07/20 12:50:00 PM,69.634,18.045,,,,,
145,08/07/20 01:00:00 PM,69.624,18.331,,,,,
146,08/07/20 01:10:00 PM,69.635,18.711,,,,,
147,08/07/20 01:20:00 PM,69.629,19.187,,,,,
148,08/07/20 01:30:00 PM,69.641,19.282,,,,,
149,08/07/20 01:40:00 PM,69.632,19.282,,,,,
150,08/07/20 01:50:00 PM,69.641,19.282,,,,,
151,08/07/20 02:00:00 PM,69.632,19.282,,,,,
152,08/07/20 02:10:00 PM,69.637,19.472,,,,,
153,08/07/20 02:20:00 PM,69.619,19.853,,,,,
154,08/07/20 02:30:00 PM,69.627,20.138,,,,,
155,08/07/20 02:40:00 PM,69.634,20.043,,,,,
156,08/07/20 02:50:00 PM,69.641,19.948,,,,,
157,08/07/20 03:00:00 PM,69.631,19.948,,,,,
158,08/07/20 03:10:00 PM,69.635,19.758,,,,,
159,08/07/20 03:20:00 PM,69.637,19.472,,,,,
160,08/07/20 03:30:00 PM,69.610,19.187,,,,,
161,08/07/20 03:40:00 PM,69.614,18.996,,,,,
162,08/07/20 03:50:00 PM,69.614,18.996,,,,,
163,08/07/20 04:00:00 PM,69.596,18.996,,,,,
164,08/07/20 04:10:00 PM,69.601,19.187,,,,,
165,08/07/20 04:20:00 PM,69.613,19.282,,,,,
166,08/07/20 04:30:00 PM,69.601,19.187,,,,,
167,08/07/20 04:40:00 PM,69.632,19.282,,,,,
168,08/07/20 04:50:00 PM,69.614,19.662,,,,,
169,08/07/20 05:00:00 PM,69.626,19.758,,,,,
170,08/07/20 05:10:00 PM,69.628,19.472,,,,,
171,08/07/20 05:20:00 PM,69.602,18.901,,,,,
172,08/07/20 05:30:00 PM,69.612,18.236,,,,,
173,08/07/20 05:40:00 PM,69.598,17.760,,,,,
174,08/07/20 05:50:00 PM,69.596,17.379,,,,,
175,08/07/20 06:00:00 PM,69.597,17.094,,,,,
176,08/07/20 06:10:00 PM,69.586,16.713,,,,,
177,08/07/20 06:20:00 PM,69.575,16.332,,,,,
178,08/07/20 06:30:00 PM,69.588,15.855,,,,,
179,08/07/20 06:40:00 PM,69.611,15.378,,,,,
180,08/07/20 06:50:00 PM,69.596,14.900,,,,,
181,08/07/20 07:00:00 PM,69.606,14.613,,,,,
182,08/07/20 07:10:00 PM,69.597,14.325,,,,,
183,08/07/20 07:20:00 PM,69.613,13.942,,,,,
184,08/07/20 07:30:00 PM,69.601,13.558,,,,,
185,08/07/20 07:40:00 PM,69.616,13.173,,,,,
186,08/07/20 07:50:00 PM,69.632,12.787,,,,,
187,08/07/20 08:00:00 PM,69.610,12.401,,,,,
188,08/07/20 08:10:00 PM,69.615,12.013,,,,,
189,08/07/20 08:20:00 PM,69.624,11.722,,,,,
190,08/07/20 08:30:00 PM,69.630,11.334,,,,,
191,08/07/20 08:40:00 PM,69.635,10.944,,,,,
192,08/07/20 08:50:00 PM,69.644,10.651,,,,,
193,08/07/20 09:00:00 PM,69.658,10.259,,,,,
194,08/07/20 09:10:00 PM,69.680,10.063,,,,,
195,08/07/20 09:20:00 PM,69.660,9.768,,,,,
196,08/07/20 09:30:00 PM,69.690,9.571,,,,,
197,08/07/20 09:40:00 PM,69.687,9.472,,,,,
198,08/07/20 09:50:00 PM,69.689,9.275,,,,,
199,08/07/20 10:00:00 PM,69.688,8.978,,,,,
200,08/07/20 10:10:00 PM,69.699,8.779,,,,,
201,08/07/20 10:20:00 PM,69.701,8.581,,,,,
202,08/07/20 10:30:00 PM,69.698,8.481,,,,,
203,08/07/20 10:40:00 PM,69.704,8.382,,,,,
204,08/07/20 10:50:00 PM,69.678,8.182,,,,,
205,08/07/20 11:00:00 PM,69.693,8.082,,,,,
206,08/07/20 11:10:00 PM,69.708,7.983,,,,,
207,08/07/20 11:20:00 PM,69.704,7.882,,,,,
208,08/07/20 11:30:00 PM,69.715,7.682,,,,,
209,08/07/20 11:40:00 PM,69.721,7.582,,,,,
210,08/07/20 11:50:00 PM,69.732,7.381,,,,,
211,08/08/20 12:00:00 AM,69.725,7.179,,,,,
212,08/08/20 12:10:00 AM,69.730,7.079,,,,,
213,08/08/20 12:20:00 AM,69.713,6.877,,,,,
214,08/08/20 12:30:00 AM,69.728,6.775,,,,,
215,08/08/20 12:40:00 AM,69.724,6.674,,,,,
216,08/08/20 12:50:00 AM,69.720,6.573,,,,,
217,08/08/20 01:00:00 AM,69.731,6.370,,,,,
218,08/08/20 01:10:00 AM,69.742,6.166,,,,,
219,08/08/20 01:20:00 AM,69.729,6.064,,,,,
220,08/08/20 01:30:00 AM,69.712,5.860,,,,,
221,08/08/20 01:40:00 AM,69.717,5.757,,,,,
222,08/08/20 01:50:00 AM,69.717,5.757,,,,,
223,08/08/20 02:00:00 AM,69.695,5.655,,,,,
224,08/08/20 02:10:00 AM,69.698,5.757,,,,,
225,08/08/20 02:20:00 AM,69.698,5.757,,,,,
226,08/08/20 02:30:00 AM,69.698,5.757,,,,,
227,08/08/20 02:40:00 AM,69.702,5.860,,,,,
228,08/08/20 02:50:00 AM,69.712,5.860,,,,,
229,08/08/20 03:00:00 AM,69.702,5.860,,,,,
230,08/08/20 03:10:00 AM,69.698,5.757,,,,,
231,08/08/20 03:20:00 AM,69.713,5.655,,,,,
232,08/08/20 03:30:00 AM,69.700,5.552,,,,,
233,08/08/20 03:40:00 AM,69.705,5.450,,,,,
234,08/08/20 03:50:00 AM,69.705,5.450,,,,,
235,08/08/20 04:00:00 AM,69.715,5.450,,,,,
236,08/08/20 04:10:00 AM,69.705,5.450,,,,,
237,08/08/20 04:20:00 AM,69.700,5.552,,,,,
238,08/08/20 04:30:00 AM,69.700,5.552,,,,,
239,08/08/20 04:40:00 AM,69.691,5.552,,,,,
240,08/08/20 04:50:00 AM,69.709,5.552,,,,,
241,08/08/20 05:00:00 AM,69.700,5.552,,,,,
242,08/08/20 05:10:00 AM,69.709,5.552,,,,,
243,08/08/20 05:20:00 AM,69.709,5.552,,,,,
244,08/08/20 05:30:00 AM,69.705,5.450,,,,,
245,08/08/20 05:40:00 AM,69.705,5.450,,,,,
246,08/08/20 05:50:00 AM,69.719,5.552,,,,,
247,08/08/20 06:00:00 AM,69.737,5.552,,,,,
248,08/08/20 06:10:00 AM,69.737,5.552,,,,,
249,08/08/20 06:20:00 AM,69.756,5.552,,,,,
250,08/08/20 06:30:00 AM,69.756,5.552,,,,,
251,08/08/20 06:40:00 AM,69.756,5.552,,,,,
252,08/08/20 06:50:00 AM,69.765,5.552,,,,,
253,08/08/20 07:00:00 AM,69.756,5.552,,,,,
254,08/08/20 07:10:00 AM,69.775,5.552,,,,,
255,08/08/20 07:20:00 AM,69.780,5.450,,,,,
256,08/08/20 07:30:00 AM,69.803,5.552,,,,,
257,08/08/20 07:40:00 AM,69.793,5.552,,,,,
258,08/08/20 07:50:00 AM,69.816,5.655,,,,,
259,08/08/20 08:00:00 AM,69.801,5.757,,,,,
260,08/08/20 08:10:00 AM,69.805,5.860,,,,,
261,08/08/20 08:20:00 AM,69.809,5.962,,,,,
262,08/08/20 08:30:00 AM,69.813,6.064,,,,,
263,08/08/20 08:40:00 AM,69.840,6.268,,,,,
264,08/08/20 08:50:00 AM,69.829,6.471,,,,,
265,08/08/20 09:00:00 AM,69.831,6.775,,,,,
266,08/08/20 09:10:00 AM,69.833,7.079,,,,,
267,08/08/20 09:20:00 AM,69.820,7.481,,,,,
268,08/08/20 09:30:00 AM,69.808,8.182,,,,,
269,08/08/20 09:40:00 AM,69.827,8.680,,,,,
270,08/08/20 09:50:00 AM,69.839,9.275,,,,,
271,08/08/20 10:00:00 AM,69.850,9.866,,,,,
272,08/08/20 10:10:00 AM,69.853,10.748,,,,,
273,08/08/20 10:20:00 AM,69.861,11.528,,,,,
274,08/08/20 10:30:00 AM,69.869,12.304,,,,,
275,08/08/20 10:40:00 AM,69.860,13.173,,,,,
276,08/08/20 10:50:00 AM,69.876,13.942,,,,,
277,08/08/20 11:00:00 AM,69.869,14.613,,,,,
278,08/08/20 11:10:00 AM,69.865,15.091,,,,,
279,08/08/20 11:20:00 AM,69.868,15.473,,,,,
280,08/08/20 11:30:00 AM,69.851,15.855,,,,,
281,08/08/20 11:40:00 AM,69.866,16.046,,,,,
282,08/08/20 11:50:00 AM,69.872,16.237,,,,,
283,08/08/20 12:00:00 PM,69.856,16.332,,,,,
284,08/08/20 12:10:00 PM,69.862,16.523,,,,,
285,08/08/20 12:20:00 PM,69.852,16.808,,,,,
286,08/08/20 12:30:00 PM,69.848,16.999,,,,,
