date,time,voltage_v,co2_ppm,formatted_datetime
6/15/2021,3:30:00 PM,0.0963,321,06/15/2021 15:30
6/15/2021,3:40:00 PM,0.099,330,06/15/2021 15:40
6/15/2021,3:50:00 PM,0.0964,321.3333333,06/15/2021 15:50
6/15/2021,4:00:00 PM,0.1006,335.3333333,06/15/2021 16:00
6/15/2021,4:10:00 PM,0.0972,324,06/15/2021 16:10
6/15/2021,4:20:00 PM,0.1013,337.6666667,06/15/2021 16:20
6/15/2021,4:30:00 PM,0.0987,329,06/15/2021 16:30
6/15/2021,4:40:00 PM,0.1005,335,06/15/2021 16:40
6/15/2021,4:50:00 PM,0.1026,342,06/15/2021 16:50
6/15/2021,5:00:00 PM,0.0987,329,06/15/2021 17:00
6/15/2021,5:10:00 PM,0.1011,337,06/15/2021 17:10
6/15/2021,5:20:00 PM,0.1063,354.3333333,06/15/2021 17:20
6/15/2021,5:30:00 PM,0.104,346.6666667,06/15/2021 17:30
6/15/2021,5:40:00 PM,0.1045,348.3333333,06/15/2021 17:40
6/15/2021,5:50:00 PM,0.1041,347,06/15/2021 17:50
6/15/2021,6:00:00 PM,0.1047,349,06/15/2021 18:00
6/15/2021,6:10:00 PM,0.1036,345.3333333,06/15/2021 18:10
6/15/2021,6:20:00 PM,0.1063,354.3333333,06/15/2021 18:20
6/15/2021,6:30:00 PM,0.107,356.6666667,06/15/2021 18:30
6/15/2021,6:40:00 PM,0.1093,364.3333333,06/15/2021 18:40
6/15/2021,6:50:00 PM,0.1093,364.3333333,06/15/2021 18:50
6/15/2021,7:00:00 PM,0.1097,365.6666667,06/15/2021 19:00
6/15/2021,7:10:00 PM,0.1137,379,06/15/2021 19:10
6/15/2021,7:20:00 PM,0.112,373.3333333,06/15/2021 19:20
6/15/2021,7:30:00 PM,0.1089,363,06/15/2021 19:30
6/15/2021,7:40:00 PM,0.1087,362.3333333,06/15/2021 19:40
6/15/2021,7:50:00 PM,0.1106,368.6666667,06/15/2021 19:50
6/15/2021,8:00:00 PM,0.1064,354.6666667,06/15/2021 20:00
6/15/2021,8:10:00 PM,0.1077,359,06/15/2021 20:10
6/15/2021,8:20:00 PM,0.1077,359,06/15/2021 20:20
6/15/2021,8:30:00 PM,0.1073,357.6666667,06/15/2021 20:30
6/15/2021,8:40:00 PM,0.108,360,06/15/2021 20:40
6/15/2021,8:50:00 PM,0.1064,354.6666667,06/15/2021 20:50
6/15/2021,9:00:00 PM,0.1073,357.6666667,06/15/2021 21:00
6/15/2021,9:10:00 PM,0.107,356.6666667,06/15/2021 21:10
6/15/2021,9:20:00 PM,0.109,363.3333333,06/15/2021 21:20
6/15/2021,9:30:00 PM,0.1104,368,06/15/2021 21:30
6/15/2021,9:40:00 PM,0.1101,367,06/15/2021 21:40
6/15/2021,9:50:00 PM,0.1105,368.3333333,06/15/2021 21:50
6/15/2021,10:00:00 PM,0.1094,364.6666667,06/15/2021 22:00
6/15/2021,10:10:00 PM,0.109,363.3333333,06/15/2021 22:10
6/15/2021,10:20:00 PM,0.109,363.3333333,06/15/2021 22:20
6/15/2021,10:30:00 PM,0.1082,360.6666667,06/15/2021 22:30
6/15/2021,10:40:00 PM,0.1067,355.6666667,06/15/2021 22:40
6/15/2021,10:50:00 PM,0.1087,362.3333333,06/15/2021 22:50
6/15/2021,11:00:00 PM,0.1089,363,06/15/2021 23:00
6/15/2021,11:10:00 PM,0.1105,368.3333333,06/15/2021 23:10
6/15/2021,11:20:00 PM,0.1087,362.3333333,06/15/2021 23:20
6/15/2021,11:30:00 PM,0.1112,370.6666667,06/15/2021 23:30
6/15/2021,11:40:00 PM,0.1063,354.3333333,06/15/2021 23:40
6/15/2021,11:50:00 PM,0.1084,361.3333333,06/15/2021 23:50
6/16/2021,12:00:00 AM,0.1077,359,06/16/2021 00:00
6/16/2021,12:10:00 AM,0.1077,359,06/16/2021 00:10
6/16/2021,12:20:00 AM,0.1057,352.3333333,06/16/2021 00:20
6/16/2021,12:30:00 AM,0.1052,350.6666667,06/16/2021 00:30
6/16/2021,12:40:00 AM,0.1079,359.6666667,06/16/2021 00:40
6/16/2021,12:50:00 AM,0.1075,358.3333333,06/16/2021 00:50
6/16/2021,1:00:00 AM,0.1051,350.3333333,06/16/2021 01:00
6/16/2021,1:10:00 AM,0.1041,347,06/16/2021 01:10
6/16/2021,1:20:00 AM,0.1087,362.3333333,06/16/2021 01:20
6/16/2021,1:30:00 AM,0.1036,345.3333333,06/16/2021 01:30
6/16/2021,1:40:00 AM,0.1079,359.6666667,06/16/2021 01:40
6/16/2021,1:50:00 AM,0.1064,354.6666667,06/16/2021 01:50
6/16/2021,2:00:00 AM,0.1073,357.6666667,06/16/2021 02:00
