Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R37137
Device ID:,,MultiChannel
,,
,,Channel 1
Date,Time,Voltage (V)
6/5/22,6:01:12,0.0158
6/5/22,6:11:12,0.0172
6/5/22,6:21:12,0.02
6/5/22,6:31:12,0.0196
6/5/22,6:41:12,0.017
6/5/22,6:51:12,0.0144
6/5/22,7:01:12,0.0144
6/5/22,7:11:12,0.0146
6/5/22,7:21:12,0.0144
6/5/22,7:31:12,0.0149
6/5/22,7:41:12,0.0156
6/5/22,7:51:12,0.0183
6/5/22,8:01:12,0.0175
6/5/22,8:11:12,0.016
6/5/22,8:21:12,0.0168
6/5/22,8:31:12,0.0175
6/5/22,8:41:12,0.0192
6/5/22,8:51:12,0.0181
6/5/22,9:01:12,0.0166
6/5/22,9:11:12,0.0171
6/5/22,9:21:12,0.0175
6/5/22,9:31:12,0.0201
6/5/22,9:41:12,0.0199
6/5/22,9:51:12,0.0174
6/5/22,10:01:12,0.0151
6/5/22,10:11:12,0.0155
6/5/22,10:21:12,0.0166
6/5/22,10:31:12,0.0184
6/5/22,10:41:12,0.0195
6/5/22,10:51:12,0.018
6/5/22,11:01:12,0.0174
6/5/22,11:11:12,0.02
6/5/22,11:21:12,0.02
6/5/22,11:31:12,0.0191
6/5/22,11:41:12,0.0198
6/5/22,11:51:12,0.0183
6/5/22,12:01:12,0.0201
6/5/22,12:11:12,0.0187
6/5/22,12:21:12,0.0175
6/5/22,12:31:12,0.017
6/5/22,12:41:12,0.0146
6/5/22,12:51:12,0.0164
6/5/22,13:01:12,0.0171
6/5/22,13:11:12,0.0185
6/5/22,13:21:12,0.0185
6/5/22,13:31:12,0.0166
6/5/22,13:41:12,0.017
6/5/22,13:51:12,0.0176
6/5/22,14:01:12,0.0175
6/5/22,14:11:12,0.02
6/5/22,14:21:12,0.0145
6/5/22,14:31:12,0.0197
6/5/22,14:41:12,0.017
6/5/22,14:51:12,0.0173
6/5/22,15:01:12,0.0199
6/5/22,15:11:12,0.0149
6/5/22,15:21:12,0.0201
6/5/22,15:31:12,0.0152
6/5/22,15:41:12,0.0181
6/5/22,15:51:12,0.0177
6/5/22,16:01:12,0.0156
6/5/22,16:11:12,0.02
6/5/22,16:21:12,0.0171
6/5/22,16:31:12,0.0175
6/5/22,16:41:12,0.0157
6/5/22,16:51:12,0.0177
6/5/22,17:01:12,0.0176
6/5/22,17:11:12,0.017
6/5/22,17:21:12,0.0187
6/5/22,17:31:12,0.0161
6/5/22,17:41:12,0.0177
6/5/22,17:51:12,0.0156
6/5/22,18:01:12,0.0199
6/5/22,18:11:12,0.0165
6/5/22,18:21:12,0.0146
6/5/22,18:31:12,0.0147
6/5/22,18:41:12,0.0173
6/5/22,18:51:12,0.0201
6/5/22,19:01:12,0.0176
6/5/22,19:11:12,0.0164
6/5/22,19:21:12,0.0149
6/5/22,19:31:12,0.0161
6/5/22,19:41:12,0.0172
6/5/22,19:51:12,0.0174
6/5/22,20:01:12,0.02
6/5/22,20:11:12,0.0201
6/5/22,20:21:12,0.0201
6/5/22,20:31:12,0.0201
6/5/22,20:41:12,0.0185
6/5/22,20:51:12,0.0183
6/5/22,21:01:12,0.0173
6/5/22,21:11:12,0.0184
6/5/22,21:21:12,0.0186
6/5/22,21:31:12,0.0179
6/5/22,21:41:12,0.0174
6/5/22,21:51:12,0.0175
6/5/22,22:01:12,0.0176
6/5/22,22:11:12,0.0201
6/5/22,22:21:12,0.0168
6/5/22,22:31:12,0.0164
6/5/22,22:41:12,0.0164
6/5/22,22:51:12,0.0167
6/5/22,23:01:12,0.0171
6/5/22,23:11:12,0.0171
6/5/22,23:21:12,0.0171
6/5/22,23:31:12,0.015
6/5/22,23:41:12,0.0154
6/5/22,23:51:12,0.0186
6/6/22,0:01:12,0.018
6/6/22,0:11:12,0.0153
6/6/22,0:21:12,0.0151
6/6/22,0:31:12,0.0173
6/6/22,0:41:12,0.0183
6/6/22,0:51:12,0.0199
6/6/22,1:01:12,0.0198
6/6/22,1:11:12,0.0175
6/6/22,1:21:12,0.0144
6/6/22,1:31:12,0.0168
6/6/22,1:41:12,0.0175
6/6/22,1:51:12,0.0175
6/6/22,2:01:12,0.0179
6/6/22,2:11:12,0.0178
6/6/22,2:21:12,0.0165
6/6/22,2:31:12,0.0168
6/6/22,2:41:12,0.0189
6/6/22,2:51:12,0.018
6/6/22,3:01:12,0.0171
6/6/22,3:11:12,0.0145
6/6/22,3:21:12,0.0171
6/6/22,3:31:12,0.0178
6/6/22,3:41:12,0.0189
6/6/22,3:51:12,0.02
6/6/22,4:01:12,0.0173
6/6/22,4:11:12,0.0164
6/6/22,4:21:12,0.0161
6/6/22,4:31:12,0.0173
6/6/22,4:41:12,0.0173
6/6/22,4:51:12,0.0188
6/6/22,5:01:12,0.0195
6/6/22,5:11:12,0.0192
6/6/22,5:21:12,0.0186
6/6/22,5:31:12,0.017
6/6/22,5:41:12,0.0145
6/6/22,5:51:12,0.0175
6/6/22,6:01:12,0.0193
6/6/22,6:11:12,0.0181
6/6/22,6:21:12,0.0173
6/6/22,6:31:12,0.0144
6/6/22,6:41:12,0.0174
6/6/22,6:51:12,0.0197
6/6/22,7:01:12,0.0173
6/6/22,7:11:12,0.0145
6/6/22,7:21:12,0.0158
6/6/22,7:31:12,0.0162
6/6/22,7:41:12,0.018
6/6/22,7:51:12,0.0173
6/6/22,8:01:12,0.0153
6/6/22,8:11:12,0.0176
6/6/22,8:21:12,0.0174
6/6/22,8:31:12,0.015
6/6/22,8:41:12,0.0174
6/6/22,8:51:12,0.0174
6/6/22,9:01:12,0.0196
6/6/22,9:11:12,0.0173
6/6/22,9:21:12,0.0172
6/6/22,9:31:12,0.0173
6/6/22,9:41:12,0.0201
6/6/22,9:51:12,0.0148
6/6/22,10:01:12,0.0162
6/6/22,10:11:12,0.0162
6/6/22,10:21:12,0.0168
6/6/22,10:31:12,0.0165
6/6/22,10:41:12,0.0158
6/6/22,10:51:12,0.0173
6/6/22,11:01:12,0.017
6/6/22,11:11:12,0.0171
6/6/22,11:21:12,0.0175
6/6/22,11:31:12,0.0181
6/6/22,11:41:12,0.0188
6/6/22,11:51:12,0.0176
6/6/22,12:01:12,0.0173
6/6/22,12:11:12,0.0148
6/6/22,12:21:12,0.0166
6/6/22,12:31:12,0.0175
6/6/22,12:41:12,0.0183
6/6/22,12:51:12,0.0188
6/6/22,13:01:12,0.0178
6/6/22,13:11:12,0.0168
6/6/22,13:21:12,0.016
6/6/22,13:31:12,0.0176
6/6/22,13:41:12,0.0203
