date,time,voltage_v,co2_ppm
8/10/21,16:30:00,0.109,363.3333333
8/10/21,16:40:00,0.1076,358.6666667
8/10/21,16:50:00,0.1102,367.3333333
8/10/21,17:00:00,0.11,366.6666667
8/10/21,17:10:00,0.11,366.6666667
8/10/21,17:20:00,0.1127,375.6666667
8/10/21,17:30:00,0.1139,379.6666667
8/10/21,17:40:00,0.1136,378.6666667
8/10/21,17:50:00,0.1135,378.3333333
8/10/21,18:00:00,0.1099,366.3333333
8/10/21,18:10:00,0.1141,380.3333333
8/10/21,18:20:00,0.1178,392.6666667
8/10/21,18:30:00,0.1218,406
8/10/21,18:40:00,0.1245,415
8/10/21,18:50:00,0.12,400
8/10/21,19:00:00,0.1201,400.3333333
8/10/21,19:10:00,0.125,416.6666667
8/10/21,19:20:00,0.1229,409.6666667
8/10/21,19:30:00,0.1251,417
8/10/21,19:40:00,0.1246,415.3333333
8/10/21,19:50:00,0.1227,409
8/10/21,20:00:00,0.1232,410.6666667
8/10/21,20:10:00,0.1225,408.3333333
8/10/21,20:20:00,0.1226,408.6666667
8/10/21,20:30:00,0.1242,414
8/10/21,20:40:00,0.123,410
8/10/21,20:50:00,0.1203,401
8/10/21,21:00:00,0.1248,416
8/10/21,21:10:00,0.1247,415.6666667
8/10/21,21:20:00,0.1252,417.3333333
8/10/21,21:30:00,0.125,416.6666667
8/10/21,21:40:00,0.1199,399.6666667
8/10/21,21:50:00,0.1232,410.6666667
8/10/21,22:00:00,0.1208,402.6666667
8/10/21,22:10:00,0.1224,408
8/10/21,22:20:00,0.12,400
8/10/21,22:30:00,0.1242,414
8/10/21,22:40:00,0.1226,408.6666667
8/10/21,22:50:00,0.1202,400.6666667
8/10/21,23:00:00,0.127,423.3333333
8/10/21,23:10:00,0.1204,401.3333333
8/10/21,23:20:00,0.121,403.3333333
8/10/21,23:30:00,0.1225,408.3333333
8/10/21,23:40:00,0.1236,412
8/10/21,23:50:00,0.12,400
8/11/21,0:00:00,0.1216,405.3333333
8/11/21,0:10:00,0.1199,399.6666667
8/11/21,0:20:00,0.1197,399
8/11/21,0:30:00,0.1203,401
8/11/21,0:40:00,0.1217,405.6666667
8/11/21,0:50:00,0.1197,399
8/11/21,1:00:00,0.1223,407.6666667
8/11/21,1:10:00,0.1222,407.3333333
8/11/21,1:20:00,0.122,406.6666667
8/11/21,1:30:00,0.1201,400.3333333
8/11/21,1:40:00,0.1201,400.3333333
8/11/21,1:50:00,0.1179,393
8/11/21,2:00:00,0.1177,392.3333333
8/11/21,2:10:00,0.1201,400.3333333
8/11/21,2:20:00,0.1206,402
8/11/21,2:30:00,0.1174,391.3333333
8/11/21,2:40:00,0.1172,390.6666667
8/11/21,2:50:00,0.1196,398.6666667
8/11/21,3:00:00,0.121,403.3333333
8/11/21,3:10:00,0.1152,384
8/11/21,3:20:00,0.1191,397
8/11/21,3:30:00,0.1175,391.6666667
8/11/21,3:40:00,0.1185,395
8/11/21,3:50:00,0.1182,394
8/11/21,4:00:00,0.1148,382.6666667
8/11/21,4:10:00,0.1194,398
8/11/21,4:20:00,0.1195,398.3333333
8/11/21,4:30:00,0.122,406.6666667
8/11/21,4:40:00,0.1173,391
8/11/21,4:50:00,0.1194,398
8/11/21,5:00:00,0.1151,383.6666667
8/11/21,5:10:00,0.1199,399.6666667
8/11/21,5:20:00,0.1171,390.3333333
8/11/21,5:30:00,0.1218,406
8/11/21,5:40:00,0.1203,401
8/11/21,5:50:00,0.1157,385.6666667
8/11/21,6:00:00,0.1202,400.6666667
8/11/21,6:10:00,0.1207,402.3333333
8/11/21,6:20:00,0.1149,383
8/11/21,6:30:00,0.1188,396
8/11/21,6:40:00,0.1172,390.6666667
8/11/21,6:50:00,0.1179,393
8/11/21,7:00:00,0.1148,382.6666667
8/11/21,7:10:00,0.1169,389.6666667
8/11/21,7:20:00,0.1113,371
8/11/21,7:30:00,0.1128,376
8/11/21,7:40:00,0.112,373.3333333
8/11/21,7:50:00,0.1145,381.6666667
8/11/21,8:00:00,0.1123,374.3333333
8/11/21,8:10:00,0.1125,375
8/11/21,8:20:00,0.1147,382.3333333
8/11/21,8:30:00,0.1145,381.6666667
8/11/21,8:40:00,0.1125,375
8/11/21,8:50:00,0.1147,382.3333333
8/11/21,9:00:00,0.1122,374
8/11/21,9:10:00,0.1092,364
8/11/21,9:20:00,0.1114,371.3333333
8/11/21,9:30:00,0.1102,367.3333333
8/11/21,9:40:00,0.1066,355.3333333
8/11/21,9:50:00,0.107,356.6666667
8/11/21,10:00:00,0.1086,362
8/11/21,10:10:00,0.1056,352
8/11/21,10:20:00,0.1048,349.3333333
8/11/21,10:30:00,0.1012,337.3333333
8/11/21,10:40:00,0.1025,341.6666667
8/11/21,10:50:00,0.1029,343
8/11/21,11:00:00,0.1012,337.3333333
8/11/21,11:10:00,0.0976,325.3333333
8/11/21,11:20:00,0.1001,333.6666667
8/11/21,11:30:00,0.1014,338
8/11/21,11:40:00,0.1031,343.6666667
8/11/21,11:50:00,0.1,333.3333333
8/11/21,12:00:00,0.0974,324.6666667
8/11/21,12:10:00,0.1026,342
8/11/21,12:20:00,0.1,333.3333333
8/11/21,12:30:00,0.0957,319
8/11/21,12:40:00,0.0971,323.6666667
8/11/21,12:50:00,0.0967,322.3333333
8/11/21,13:00:00,0.0972,324
8/11/21,13:10:00,0.0965,321.6666667
8/11/21,13:20:00,0.0973,324.3333333
8/11/21,13:30:00,0.0972,324
8/11/21,13:40:00,0.1,333.3333333
8/11/21,13:50:00,0.1023,341
8/11/21,14:00:00,0.0999,333
8/11/21,14:10:00,0.1026,342
8/11/21,14:20:00,0.0978,326
8/11/21,14:30:00,0.1037,345.6666667
8/11/21,14:40:00,0.1043,347.6666667
8/11/21,14:50:00,0.103,343.3333333
8/11/21,15:00:00,0.1033,344.3333333
8/11/21,15:10:00,0.1033,344.3333333
8/11/21,15:20:00,0.1034,344.6666667
8/11/21,15:30:00,0.1053,351
8/11/21,15:40:00,0.1097,365.6666667
8/11/21,15:50:00,0.1073,357.6666667
8/11/21,16:00:00,0.1079,359.6666667
8/11/21,16:10:00,0.1091,363.6666667
8/11/21,16:20:00,0.1097,365.6666667
8/11/21,16:30:00,0.1099,366.3333333
8/11/21,16:40:00,0.1084,361.3333333
8/11/21,16:50:00,0.1102,367.3333333
8/11/21,17:00:00,0.1134,378
8/11/21,17:10:00,0.1115,371.6666667
8/11/21,17:20:00,0.1161,387
8/11/21,17:30:00,0.1126,375.3333333
8/11/21,17:40:00,0.1156,385.3333333
8/11/21,17:50:00,0.1175,391.6666667
8/11/21,18:00:00,0.1206,402
8/11/21,18:10:00,0.1181,393.6666667
8/11/21,18:20:00,0.1198,399.3333333
8/11/21,18:30:00,0.1248,416
8/11/21,18:40:00,0.1213,404.3333333
8/11/21,18:50:00,0.1203,401
8/11/21,19:00:00,0.1234,411.3333333
8/11/21,19:10:00,0.1211,403.6666667
8/11/21,19:20:00,0.1227,409
8/11/21,19:30:00,0.1227,409
8/11/21,19:40:00,0.1225,408.3333333
8/11/21,19:50:00,0.12,400
8/11/21,20:00:00,0.1212,404
8/11/21,20:10:00,0.1224,408
8/11/21,20:20:00,0.1249,416.3333333
8/11/21,20:30:00,0.1252,417.3333333
8/11/21,20:40:00,0.1248,416
8/11/21,20:50:00,0.1244,414.6666667
8/11/21,21:00:00,0.1249,416.3333333
8/11/21,21:10:00,0.1272,424
8/11/21,21:20:00,0.1277,425.6666667
8/11/21,21:30:00,0.1234,411.3333333
8/11/21,21:40:00,0.1245,415
8/11/21,21:50:00,0.1262,420.6666667
8/11/21,22:00:00,0.1242,414
8/11/21,22:10:00,0.1239,413
8/11/21,22:20:00,0.1248,416
8/11/21,22:30:00,0.1224,408
8/11/21,22:40:00,0.1223,407.6666667
8/11/21,22:50:00,0.1225,408.3333333
8/11/21,23:00:00,0.1201,400.3333333
8/11/21,23:10:00,0.1211,403.6666667
8/11/21,23:20:00,0.1218,406
8/11/21,23:30:00,0.1224,408
8/11/21,23:40:00,0.119,396.6666667
8/11/21,23:50:00,0.122,406.6666667
8/12/21,0:00:00,0.1191,397
8/12/21,0:10:00,0.1182,394
8/12/21,0:20:00,0.1205,401.6666667
8/12/21,0:30:00,0.1192,397.3333333
8/12/21,0:40:00,0.119,396.6666667
8/12/21,0:50:00,0.1148,382.6666667
8/12/21,1:00:00,0.1197,399
8/12/21,1:10:00,0.1207,402.3333333
8/12/21,1:20:00,0.1174,391.3333333
8/12/21,1:30:00,0.1172,390.6666667
8/12/21,1:40:00,0.1175,391.6666667
8/12/21,1:50:00,0.1196,398.6666667
8/12/21,2:00:00,0.1217,405.6666667
8/12/21,2:10:00,0.1169,389.6666667
8/12/21,2:20:00,0.1173,391
8/12/21,2:30:00,0.1209,403
8/12/21,2:40:00,0.1179,393
8/12/21,2:50:00,0.1219,406.3333333
8/12/21,3:00:00,0.1153,384.3333333
8/12/21,3:10:00,0.1171,390.3333333
8/12/21,3:20:00,0.1186,395.3333333
8/12/21,3:30:00,0.1199,399.6666667
8/12/21,3:40:00,0.117,390
8/12/21,3:50:00,0.1151,383.6666667
8/12/21,4:00:00,0.1195,398.3333333
8/12/21,4:10:00,0.1151,383.6666667
8/12/21,4:20:00,0.1176,392
8/12/21,4:30:00,0.1196,398.6666667
8/12/21,4:40:00,0.1182,394
8/12/21,4:50:00,0.1182,394
8/12/21,5:00:00,0.1172,390.6666667
8/12/21,5:10:00,0.1168,389.3333333
8/12/21,5:20:00,0.1172,390.6666667
8/12/21,5:30:00,0.1159,386.3333333
8/12/21,5:40:00,0.1169,389.6666667
8/12/21,5:50:00,0.1197,399
8/12/21,6:00:00,0.1178,392.6666667
8/12/21,6:10:00,0.1169,389.6666667
8/12/21,6:20:00,0.1176,392
8/12/21,6:30:00,0.1182,394
8/12/21,6:40:00,0.1192,397.3333333
8/12/21,6:50:00,0.1147,382.3333333
8/12/21,7:00:00,0.1135,378.3333333
8/12/21,7:10:00,0.1121,373.6666667
8/12/21,7:20:00,0.116,386.6666667
8/12/21,7:30:00,0.1145,381.6666667
8/12/21,7:40:00,0.1143,381
8/12/21,7:50:00,0.1105,368.3333333
8/12/21,8:00:00,0.1139,379.6666667
8/12/21,8:10:00,0.1103,367.6666667
8/12/21,8:20:00,0.1094,364.6666667
8/12/21,8:30:00,0.1098,366
8/12/21,8:40:00,0.1075,358.3333333
