Plot Title: 20833955,,,
ID,datetime,abs pres_kPa,temp_C
1,7/29/20 16:00,71.255,19.092
2,7/29/20 16:10,71.255,18.14
3,7/29/20 16:20,71.229,17.094
4,7/29/20 16:30,71.224,16.523
5,7/29/20 16:40,71.229,16.427
6,7/29/20 16:50,71.235,16.332
7,7/29/20 17:00,71.216,16.141
8,7/29/20 17:10,71.227,15.951
9,7/29/20 17:20,71.209,15.76
10,7/29/20 17:30,71.238,15.76
11,7/29/20 17:40,71.258,15.569
12,7/29/20 17:50,71.249,15.378
13,7/29/20 18:00,71.241,15.187
14,7/29/20 18:10,71.256,14.9
15,7/29/20 18:20,71.234,14.421
16,7/29/20 18:30,71.259,13.942
17,7/29/20 18:40,71.27,13.558
18,7/29/20 18:50,71.266,13.269
19,7/29/20 19:00,71.28,12.98
20,7/29/20 19:10,71.295,12.69
21,7/29/20 19:20,71.305,12.304
22,7/29/20 19:30,71.319,11.819
23,7/29/20 19:40,71.313,11.528
24,7/29/20 19:50,71.327,11.236
25,7/29/20 20:00,71.332,10.944
26,7/29/20 20:10,71.345,10.651
27,7/29/20 20:20,71.353,10.259
28,7/29/20 20:30,71.347,9.965
29,7/29/20 20:40,71.351,9.669
30,7/29/20 20:50,71.364,9.373
31,7/29/20 21:00,71.367,9.077
32,7/29/20 21:10,71.385,8.879
33,7/29/20 21:20,71.397,8.581
34,7/29/20 21:30,71.415,8.382
35,7/29/20 21:40,71.423,8.182
36,7/29/20 21:50,71.431,7.983
37,7/29/20 22:00,71.43,7.782
38,7/29/20 22:10,71.409,7.582
39,7/29/20 22:20,71.422,7.481
40,7/29/20 22:30,71.43,7.28
41,7/29/20 22:40,71.434,7.179
42,7/29/20 22:50,71.409,7.079
43,7/29/20 23:00,71.413,6.978
44,7/29/20 23:10,71.397,6.877
45,7/29/20 23:20,71.401,6.775
46,7/29/20 23:30,71.395,6.674
47,7/29/20 23:40,71.399,6.573
48,7/29/20 23:50,71.408,6.573
49,7/30/20 0:00,71.403,6.471
50,7/30/20 0:10,71.406,6.37
51,7/30/20 0:20,71.429,6.268
52,7/30/20 0:30,71.419,6.268
53,7/30/20 0:40,71.423,6.166
54,7/30/20 0:50,71.417,6.064
55,7/30/20 1:00,71.417,6.064
56,7/30/20 1:10,71.421,5.962
57,7/30/20 1:20,71.421,5.962
58,7/30/20 1:30,71.43,5.962
59,7/30/20 1:40,71.424,5.86
60,7/30/20 1:50,71.415,5.86
61,7/30/20 2:00,71.418,5.757
62,7/30/20 2:10,71.418,5.757
63,7/30/20 2:20,71.403,5.655
64,7/30/20 2:30,71.406,5.552
65,7/30/20 2:40,71.406,5.552
66,7/30/20 2:50,71.4,5.45
67,7/30/20 3:00,71.4,5.45
68,7/30/20 3:10,71.384,5.347
69,7/30/20 3:20,71.368,5.244
70,7/30/20 3:30,71.368,5.244
71,7/30/20 3:40,71.368,5.244
72,7/30/20 3:50,71.359,5.244
73,7/30/20 4:00,71.368,5.244
74,7/30/20 4:10,71.375,5.347
75,7/30/20 4:20,71.375,5.347
76,7/30/20 4:30,71.403,5.347
77,7/30/20 4:40,71.397,5.244
78,7/30/20 4:50,71.41,5.141
79,7/30/20 5:00,71.423,5.037
80,7/30/20 5:10,71.417,4.934
81,7/30/20 5:20,71.401,4.831
82,7/30/20 5:30,71.407,4.934
83,7/30/20 5:40,71.407,4.934
84,7/30/20 5:50,71.423,5.037
85,7/30/20 6:00,71.429,5.141
86,7/30/20 6:10,71.439,5.141
87,7/30/20 6:20,71.433,5.037
88,7/30/20 6:30,71.433,5.037
89,7/30/20 6:40,71.455,4.934
90,7/30/20 6:50,71.455,4.934
91,7/30/20 7:00,71.439,5.141
92,7/30/20 7:10,71.451,5.347
93,7/30/20 7:20,71.451,5.655
94,7/30/20 7:30,71.45,5.962
95,7/30/20 7:40,71.462,6.166
96,7/30/20 7:50,71.464,6.37
97,7/30/20 8:00,71.491,6.674
98,7/30/20 8:10,71.48,6.978
99,7/30/20 8:20,71.484,7.381
100,7/30/20 8:30,71.497,7.782
101,7/30/20 8:40,71.496,8.282
102,7/30/20 8:50,71.504,8.779
103,7/30/20 9:00,71.512,9.275
104,7/30/20 9:10,71.52,9.768
105,7/30/20 9:20,71.499,10.455
106,7/30/20 9:30,71.506,11.722
107,7/30/20 9:40,71.536,12.69
108,7/30/20 9:50,71.54,13.558
109,7/30/20 10:00,71.549,13.942
110,7/30/20 10:10,71.549,13.942
111,7/30/20 10:20,71.548,14.134
112,7/30/20 10:30,71.562,14.421
113,7/30/20 10:40,71.57,14.996
114,7/30/20 10:50,71.555,16.808
115,7/30/20 11:00,71.565,18.616
116,7/30/20 11:10,71.594,19.567
117,7/30/20 11:20,71.57,20.424
118,7/30/20 11:30,71.6,20.71
119,7/30/20 11:40,71.588,21.664
120,7/30/20 11:50,71.616,22.429
121,7/30/20 12:00,71.614,22.908
122,7/30/20 12:10,71.62,22.812
123,7/30/20 12:20,71.608,21.951
124,7/30/20 12:30,71.623,21.569
125,7/30/20 12:40,71.587,20.615
126,7/30/20 12:50,71.606,21.378
127,7/30/20 13:00,71.603,21.282
128,7/30/20 13:10,71.592,22.046
129,7/30/20 13:20,71.605,21.855
130,7/30/20 13:30,71.607,21.664
131,7/30/20 13:40,71.61,21.473
132,7/30/20 13:50,71.591,20.71
133,7/30/20 14:00,71.619,19.948
134,7/30/20 14:10,71.58,19.472
135,7/30/20 14:20,71.6,18.996
136,7/30/20 14:30,71.586,18.426
137,7/30/20 14:40,71.589,18.045
138,7/30/20 14:50,71.581,17.855
139,7/30/20 15:00,71.583,17.665
140,7/30/20 15:10,71.57,17.379
141,7/30/20 15:20,71.561,17.379
142,7/30/20 15:30,71.548,17.76
143,7/30/20 15:40,71.568,18.236
144,7/30/20 15:50,71.547,18.426
145,7/30/20 16:00,71.55,18.045
146,7/30/20 16:10,71.529,17.76
147,7/30/20 16:20,71.542,17.855
148,7/30/20 16:30,71.542,17.855
149,7/30/20 16:40,71.533,17.855
150,7/30/20 16:50,71.544,17.665
151,7/30/20 17:00,71.545,17.475
152,7/30/20 17:10,71.572,17.189
153,7/30/20 17:20,71.568,17.094
154,7/30/20 17:30,71.563,16.999
155,7/30/20 17:40,71.589,16.713
156,7/30/20 17:50,71.592,16.332
157,7/30/20 18:00,71.604,15.951
158,7/30/20 18:10,71.606,15.569
159,7/30/20 18:20,71.599,14.996
160,7/30/20 18:30,71.601,14.421
161,7/30/20 18:40,71.611,14.038
162,7/30/20 18:50,71.622,13.654
163,7/30/20 19:00,71.622,13.461
164,7/30/20 19:10,71.613,13.269
165,7/30/20 19:20,71.608,12.98
166,7/30/20 19:30,71.603,12.69
167,7/30/20 19:40,71.613,12.304
168,7/30/20 19:50,71.613,11.916
169,7/30/20 20:00,71.622,11.528
170,7/30/20 20:10,71.616,11.041
171,7/30/20 20:20,71.619,10.553
172,7/30/20 20:30,71.598,10.161
173,7/30/20 20:40,71.612,9.866
174,7/30/20 20:50,71.62,9.669
175,7/30/20 21:00,71.619,9.472
176,7/30/20 21:10,71.643,9.373
177,7/30/20 21:20,71.652,9.373
178,7/30/20 21:30,71.657,9.275
179,7/30/20 21:40,71.68,9.176
180,7/30/20 21:50,71.669,8.978
181,7/30/20 22:00,71.687,8.779
182,7/30/20 22:10,71.667,8.581
183,7/30/20 22:20,71.665,8.382
184,7/30/20 22:30,71.673,8.182
185,7/30/20 22:40,71.672,7.983
186,7/30/20 22:50,71.666,7.882
187,7/30/20 23:00,71.684,7.682
188,7/30/20 23:10,71.663,7.481
189,7/30/20 23:20,71.638,7.381
190,7/30/20 23:30,71.641,7.28
191,7/30/20 23:40,71.649,7.079
192,7/30/20 23:50,71.624,6.978
193,7/31/20 0:00,71.628,6.877
194,7/31/20 0:10,71.632,6.775
195,7/31/20 0:20,71.622,6.775
196,7/31/20 0:30,71.62,6.573
