Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R12415
Device ID:,,MultiChannel
,,
,,Channel 1
Date,Time,Voltage (V)
4/30/22,18:02:30,0.1011
4/30/22,18:12:30,0.0949
4/30/22,18:22:30,0.1129
4/30/22,18:32:30,0.1179
4/30/22,18:42:30,0.1177
4/30/22,18:52:30,0.1127
4/30/22,19:02:30,0.1148
4/30/22,19:12:30,0.1156
4/30/22,19:22:30,0.1134
4/30/22,19:32:30,0.1119
4/30/22,19:42:30,0.1057
4/30/22,19:52:30,0.1069
4/30/22,20:02:30,0.1049
4/30/22,20:12:30,0.1021
4/30/22,20:22:30,0.0964
4/30/22,20:32:30,0.0932
4/30/22,20:42:30,0.0932
4/30/22,20:52:30,0.087
4/30/22,21:02:30,0.0818
4/30/22,21:12:30,0.0768
4/30/22,21:22:30,0.0736
4/30/22,21:32:30,0.0692
4/30/22,21:42:30,0.0642
4/30/22,21:52:30,0.0595
4/30/22,22:02:30,0.0582
4/30/22,22:12:30,0.0489
4/30/22,22:22:30,0.054
4/30/22,22:32:30,0.0472
4/30/22,22:42:30,0.0487
4/30/22,22:52:30,0.0436
4/30/22,23:02:30,0.0427
4/30/22,23:12:30,0.0414
4/30/22,23:22:30,0.0398
4/30/22,23:32:30,0.0387
4/30/22,23:42:30,0.0345
4/30/22,23:52:30,0.0301
5/1/22,0:02:30,0.0279
5/1/22,0:12:30,0.0273
5/1/22,0:22:30,0.0242
5/1/22,0:32:30,0.0207
5/1/22,0:42:30,0.0213
5/1/22,0:52:30,0.0193
5/1/22,1:02:30,0.0141
5/1/22,1:12:30,0.0172
5/1/22,1:22:30,0.0135
5/1/22,1:32:30,0.0177
5/1/22,1:42:30,0.0147
5/1/22,1:52:30,0.0163
5/1/22,2:02:30,0.0157
5/1/22,2:12:30,0.0151
5/1/22,2:22:30,0.0129
5/1/22,2:32:30,0.0175
5/1/22,2:42:30,0.015
5/1/22,2:52:30,0.0136
5/1/22,3:02:30,0.0154
5/1/22,3:12:30,0.0154
5/1/22,3:22:30,0.0148
5/1/22,3:32:30,0.0159
5/1/22,3:42:30,0.0137
5/1/22,3:52:30,0.0151
5/1/22,4:02:30,0.0146
5/1/22,4:12:30,0.014
5/1/22,4:22:30,0.0171
5/1/22,4:32:30,0.0139
5/1/22,4:42:30,0.015
5/1/22,4:52:30,0.0145
5/1/22,5:02:30,0.0146
5/1/22,5:12:30,0.0175
5/1/22,5:22:30,0.0142
5/1/22,5:32:30,0.0125
5/1/22,5:42:30,0.015
5/1/22,5:52:30,0.0156
5/1/22,6:02:30,0.0167
5/1/22,6:12:30,0.0143
5/1/22,6:22:30,0.0148
5/1/22,6:32:30,0.0149
5/1/22,6:42:30,0.0153
5/1/22,6:52:30,0.0129
5/1/22,7:02:30,0.0148
5/1/22,7:12:30,0.0173
5/1/22,7:22:30,0.0146
5/1/22,7:32:30,0.015
5/1/22,7:42:30,0.0167
5/1/22,7:52:30,0.0192
5/1/22,8:02:30,0.02
5/1/22,8:12:30,0.0187
5/1/22,8:22:30,0.0187
5/1/22,8:32:30,0.0216
5/1/22,8:42:30,0.0249
5/1/22,8:52:30,0.0253
5/1/22,9:02:30,0.0262
5/1/22,9:12:30,0.0255
5/1/22,9:22:30,0.0274
5/1/22,9:32:30,0.0258
5/1/22,9:42:30,0.0208
5/1/22,9:52:30,0.0178
5/1/22,10:02:30,0.0166
5/1/22,10:12:30,0.0148
5/1/22,10:22:30,0.0155
5/1/22,10:32:30,0.0137
5/1/22,10:42:30,0.0125
5/1/22,10:52:30,0.0166
5/1/22,11:02:30,0.0128
5/1/22,11:12:30,0.0132
5/1/22,11:22:30,0.0164
5/1/22,11:32:30,0.014
5/1/22,11:42:30,0.0148
5/1/22,11:52:30,0.0162
5/1/22,12:02:30,0.0151
5/1/22,12:12:30,0.0124
5/1/22,12:22:30,0.017
5/1/22,12:32:30,0.0148
5/1/22,12:42:30,0.0165
5/1/22,12:52:30,0.0173
5/1/22,13:02:30,0.0054
5/1/22,13:12:30,0.4104
5/1/22,13:22:30,0.4665
5/1/22,13:32:30,0.006
5/1/22,13:42:30,0.0021
5/1/22,13:52:30,0.0021
5/1/22,14:02:30,0.0021
5/1/22,14:12:30,0.0021
5/1/22,14:22:30,0.0021
5/1/22,14:32:30,0.0022
5/1/22,14:42:30,0.0021
5/1/22,14:52:30,0.0021
5/1/22,15:02:30,0.0021
5/1/22,15:12:30,0.0021
5/1/22,15:22:30,0.0021
5/1/22,15:32:30,0.0021
5/1/22,15:42:30,0.0021
5/1/22,15:52:30,0.0021
5/1/22,16:02:30,0.0021
5/1/22,16:12:30,0.0021
5/1/22,16:22:30,0.0021
5/1/22,16:32:30,0.0021
5/1/22,16:42:30,0.0021
5/1/22,16:52:30,0.0021
5/1/22,17:02:30,0.0021
5/1/22,17:12:30,0.0021
5/1/22,17:22:30,0.0021
5/1/22,17:32:30,0.0021
5/1/22,17:42:30,0.0021
5/1/22,17:52:30,0.0021
5/1/22,18:02:30,0.0021
5/1/22,18:12:30,0.0021
5/1/22,18:22:30,0.0021
5/1/22,18:32:30,0.0021
5/1/22,18:42:30,0.0021
5/1/22,18:52:30,0.0021
5/1/22,19:02:30,0.0021
5/1/22,19:12:30,0.0021
5/1/22,19:22:30,0.0021
5/1/22,19:32:30,0.0021
5/1/22,19:42:30,0.0021
5/1/22,19:52:30,0.0021
5/1/22,20:02:30,0.0021
5/1/22,20:12:30,0.0021
5/1/22,20:22:30,0.0021
5/1/22,20:32:30,0.0021
5/1/22,20:42:30,0.0021
5/1/22,20:52:30,0.0021
5/1/22,21:02:30,0.0021
5/1/22,21:12:30,0.0021
5/1/22,21:22:30,0.0021
5/1/22,21:32:30,0.0021
5/1/22,21:42:30,0.0021
5/1/22,21:52:30,0.0021
5/1/22,22:02:30,0.0021
5/1/22,22:12:30,0.0022
5/1/22,22:22:30,0.0021
5/1/22,22:32:30,0.0021
5/1/22,22:42:30,0.0021
5/1/22,22:52:30,0.0021
5/1/22,23:02:30,0.0021
5/1/22,23:12:30,0.0021
5/1/22,23:22:30,0.0021
5/1/22,23:32:30,0.0021
5/1/22,23:42:30,0.0021
5/1/22,23:52:30,0.0021
5/2/22,0:02:30,0.0021
5/2/22,0:12:30,0.0021
5/2/22,0:22:30,0.0021
5/2/22,0:32:30,0.0021
5/2/22,0:42:30,0.0022
5/2/22,0:52:30,0.0021
5/2/22,1:02:30,0.0021
5/2/22,1:12:30,0.0021
5/2/22,1:22:30,0.0021
5/2/22,1:32:30,0.0021
5/2/22,1:42:30,0.0021
5/2/22,1:52:30,0.0021
5/2/22,2:02:30,0.0021
5/2/22,2:12:30,0.0021
5/2/22,2:22:30,0.0021
5/2/22,2:32:30,0.0021
5/2/22,2:42:30,0.0021
5/2/22,2:52:30,0.0021
5/2/22,3:02:30,0.0021
5/2/22,3:12:30,0.0021
5/2/22,3:22:30,0.0021
5/2/22,3:32:30,0.0021
5/2/22,3:42:30,0.0021
5/2/22,3:52:30,0.0021
5/2/22,4:02:30,0.0021
5/2/22,4:12:30,0.0021
5/2/22,4:22:30,0.0021
5/2/22,4:32:30,0.0021
5/2/22,4:42:30,0.0021
5/2/22,4:52:30,0.0021
5/2/22,5:02:30,0.0021
5/2/22,5:12:30,0.0021
5/2/22,5:22:30,0.0021
5/2/22,5:32:30,0.0022
5/2/22,5:42:30,0.0021
5/2/22,5:52:30,0.0021
5/2/22,6:02:30,0.0021
5/2/22,6:12:30,0.0021
5/2/22,6:22:30,0.0021
5/2/22,6:32:30,0.0021
5/2/22,6:42:30,0.0021
5/2/22,6:52:30,0.0021
5/2/22,7:02:30,0.0021
5/2/22,7:12:30,0.0021
5/2/22,7:22:30,0.0021
5/2/22,7:32:30,0.0021
5/2/22,7:42:30,0.0021
5/2/22,7:52:30,0.0021
5/2/22,8:02:30,0.0021
5/2/22,8:12:30,0.0021
5/2/22,8:22:30,0.0021
5/2/22,8:32:30,0.0021
5/2/22,8:42:30,0.0021
5/2/22,8:52:30,0.0021
5/2/22,9:02:30,0.0021
5/2/22,9:12:30,0.0021
5/2/22,9:22:30,0.0021
5/2/22,9:32:30,0.0021
5/2/22,9:42:30,0.0021
5/2/22,9:52:30,0.0021
5/2/22,10:02:30,0.0021
5/2/22,10:12:30,0.0021
5/2/22,10:22:30,0.0021
5/2/22,10:32:30,0.0022
5/2/22,10:42:30,0.0021
5/2/22,10:52:30,0.0021
5/2/22,11:02:30,0.0021
5/2/22,11:12:30,0.0021
5/2/22,11:22:30,0.0021
5/2/22,11:32:30,0.0021
5/2/22,11:42:30,0.0021
5/2/22,11:52:30,0.0021
5/2/22,12:02:30,0.0021
5/2/22,12:12:30,0.0021
5/2/22,12:22:30,0.0021
5/2/22,12:32:30,0.0021
5/2/22,12:42:30,0.0021
5/2/22,12:52:30,0.0021
5/2/22,13:02:30,0.0021
5/2/22,13:12:30,0.0021
5/2/22,13:22:30,0.0021
5/2/22,13:32:30,0.0021
5/2/22,13:42:30,0.0021
5/2/22,13:52:30,0.0021
5/2/22,14:02:30,0.0021
5/2/22,14:12:30,0.0021
5/2/22,14:22:30,0.0021
5/2/22,14:32:30,0.0021
5/2/22,14:42:30,0.0021
5/2/22,14:52:30,0.0021
5/2/22,15:02:30,0.0021
5/2/22,15:12:30,0.0021
5/2/22,15:22:30,0.0021
5/2/22,15:32:30,0.0021
5/2/22,15:42:30,0.0021
5/2/22,15:52:30,0.0021
5/2/22,16:02:30,0.0021
5/2/22,16:12:30,0.0021
5/2/22,16:22:30,0.0021
5/2/22,16:32:30,0.0021
5/2/22,16:42:30,0.0021
5/2/22,16:52:30,0.0021
5/2/22,17:02:30,0.0021
5/2/22,17:12:30,0.0021
5/2/22,17:22:30,0.0021
5/2/22,17:32:30,0.0021
5/2/22,17:42:30,0.0021
5/2/22,17:52:30,0.0021
5/2/22,18:02:30,0.0021
5/2/22,18:12:30,0.0021
5/2/22,18:22:30,0.0021
5/2/22,18:32:30,0.0021
5/2/22,18:42:30,0.0021
5/2/22,18:52:30,0.0021
5/2/22,19:02:30,0.0021
5/2/22,19:12:30,0.0021
5/2/22,19:22:30,0.0021
5/2/22,19:32:30,0.0021
5/2/22,19:42:30,0.0021
5/2/22,19:52:30,0.0021
5/2/22,20:02:30,0.0021
5/2/22,20:12:30,0.0021
5/2/22,20:22:30,0.0021
5/2/22,20:32:30,0.0021
5/2/22,20:42:30,0.0021
5/2/22,20:52:30,0.0021
5/2/22,21:02:30,0.0021
5/2/22,21:12:30,0.0022
5/2/22,21:22:30,0.0021
5/2/22,21:32:30,0.0021
5/2/22,21:42:30,0.0021
5/2/22,21:52:30,0.0021
5/2/22,22:02:30,0.0021
5/2/22,22:12:30,0.0021
5/2/22,22:22:30,0.0021
5/2/22,22:32:30,0.0021
5/2/22,22:42:30,0.0021
5/2/22,22:52:30,0.0021
5/2/22,23:02:30,0.0021
5/2/22,23:12:30,0.0021
5/2/22,23:22:30,0.0021
5/2/22,23:32:30,0.0021
5/2/22,23:42:30,0.0021
5/2/22,23:52:30,0.0021
5/3/22,0:02:30,0.0021
5/3/22,0:12:30,0.0021
5/3/22,0:22:30,0.0021
5/3/22,0:32:30,0.0021
5/3/22,0:42:30,0.0021
5/3/22,0:52:30,0.0021
5/3/22,1:02:30,0.0021
5/3/22,1:12:30,0.0021
5/3/22,1:22:30,0.0021
5/3/22,1:32:30,0.0021
5/3/22,1:42:30,0.0021
5/3/22,1:52:30,0.0021
5/3/22,2:02:30,0.0021
5/3/22,2:12:30,0.0021
5/3/22,2:22:30,0.0021
5/3/22,2:32:30,0.0021
5/3/22,2:42:30,0.0021
5/3/22,2:52:30,0.0021
5/3/22,3:02:30,0.0021
5/3/22,3:12:30,0.0021
5/3/22,3:22:30,0.0021
5/3/22,3:32:30,0.0021
5/3/22,3:42:30,0.0021
5/3/22,3:52:30,0.0021
5/3/22,4:02:30,0.0021
5/3/22,4:12:30,0.0021
5/3/22,4:22:30,0.0021
5/3/22,4:32:30,0.0021
5/3/22,4:42:30,0.0021
5/3/22,4:52:30,0.0021
5/3/22,5:02:30,0.0021
5/3/22,5:12:30,0.0021
